id,name,email,city,country,registration_date,active
0,Espiridión Ripoll Tirado,albamayol@example.com,Tacna,Peru,2024-02-08,1
1,SEBASTIAN DEL JOVE,  sebastian44@example.net  ,Ciudad Guayana,Venezuela,2024-10-04,0
2,Adán Sevilla,mlosada@example.org,Cobija,Bolivia,2024-02-25,0
3,Silvio Ávila Porcel,  rquesada@example.net  ,Málaga,Spain,2023-01-31,1
4,alba torrents madrigal,eutropio92@example.com,San Pedro Sula,Honduras,2025-09-17,1
5,Heriberto Carvajal Lozano,ani05@example.com,Ponce,Puerto Rico,2023-02-20,0
6,Pío Armas Lastra,odomenech@example.org,Chinandega,Nicaragua,2022-12-16,1
7,Virginia Riba-Falcón,arsenio49@example.com,Nicoya,Costa Rica,2025-11-11,1
8,Gervasio Tito Alegre Porras,leandronavarrete@example.net,San José,Costa Rica,2025-02-10,0
9,Gisela Elodia Valentín Segura,doroteacalzada@example.com,Puerto Plata,Dominican Republic,2022-01-10,0
10,Juliana Arteaga Acosta,alvarezjavi@example.net,Heredia,Costa Rica,2021-04-21,0
11,CRUZ PACHECO-GIMENO,  ppeinado@example.com  ,Arequipa,Peru,2022-10-12,0
12,evelia roig niño,cifuentesonofre@example.org,Iquitos,Peru,2022-03-24,0
13,Andrés Felipe Miró Estrada,isalgado@example.com,,Paraguay,2022-10-26,0
14,Jose Angel Campos Nicolau,odalysmendizabal@example.org,Iquique,Chile,2021-05-13,0
15,milagros arellano perales,serafina14@example.net,Barcelona,Spain,2023-07-04,1
16,Abril del Rios,xavier17@example.net,Iquitos,Peru,2026-01-12,0
17,Eutimio Pedrosa Andrade,miguelfonseca@example.org,Alajuela,Costa Rica,2024-02-28,0
18,Artemio Palomar Benavente,perlitasaenz@example.org,La Plata,Argentina,2024-03-15,0
19,ramiro crespi arnau,hcastello@example.net,Maldonado,Uruguay,2021-07-27,1
20,Alonso Vicens-Morell,libarra@example.com,,Venezuela,2022-11-09,0
21,MARTINA CAMPS,arceliaramirez@example.com,Maracay,Venezuela,2025-05-02,0
22,Pili de Pedraza,jordianton@example.com,Luba,Equatorial Guinea,2022-08-29,1
23,Alma Solano Arrieta,dmorata@example.com,Luba,Equatorial Guinea,2025-01-10,1
24,RICARDO DEL NEIRA,morantefabio@example.com,Bogotá,Colombia,17/10/2021,1
25,JUAN CARLOS DEL SORIA,emiliana23@example.net,,Colombia,2021-12-28,1
26,Martin del Moliner,juan45@example.com,Sevilla,Spain,02/10/2022,1
27,Amada Mesa Pinedo,vilaltavalerio@example.com,Arraiján,Panama,2025-12-19,0
28,felisa beltrán,rocamorajuan-francisco@example.net,Guadalajara,Mexico,2025-06-06,1
29,José Manuel Carrera Fernandez,  ramirezlucio@example.net  ,Tarija,Bolivia,2024-06-30,0
30,Roberto Sanabria Puerta,heraclio39@example.net,Cobija,Bolivia,2021-09-26,1
31,MARTIN PRATS YUSTE,bruelba@example.net,La Plata,Argentina,2023-12-01,0
32,Nuria Ligia Franch Millán,ribashortensia@example.net,Caguas,Puerto Rico,2023-04-14,1
33,Evelia Verdú Salamanca,cbotella@example.net,Pérez Zeledón,Costa Rica,2024-08-09,1
34,Maximino Sala Núñez,sotomaximiano@example.com,Rivera,Uruguay,2022-08-14,1
35,Luna Plaza Espinosa,samantamarino@example.net,Las Piedras,Uruguay,04/05/2024,0
36,Flora Cañizares Martí,balagueramor@example.com,San Miguel,El Salvador,2024-09-06,0
37,Tania Andreu Grau,icanovas@example.net,La Paz,Bolivia,2021-07-07,1
38,Alejo Mascaró Castro,cruz31@example.org,Colón,Panama,2022-10-06,0
39,Candelario Moll Río,  anguitanidia@example.org  ,Maturín,Venezuela,2024-01-25,0
40,Almudena Vargas Sola,roviralucio@example.com,Chinandega,Nicaragua,2023-08-21,1
